Regiao,Mes,Total Crimes,Dif Percentual
Araçatuba,Jan,158.0,-7.0588235294117645
Araçatuba,Fev,139.0,-12.025316455696203
Araçatuba,Mar,167.0,20.14388489208633
Araçatuba,Abr,151.0,-9.580838323353294
Araçatuba,Mai,116.0,-23.178807947019866
Araçatuba,Jun,114.0,-1.7241379310344827
Araçatuba,Jul,124.0,8.771929824561402
Araçatuba,Ago,122.0,-1.6129032258064515
Araçatuba,Set,119.0,-2.459016393442623
Araçatuba,Out,162.0,36.134453781512605
Araçatuba,Nov,137.0,-15.432098765432098
Araçatuba,Dez,170.0,24.087591240875913
Ribeirão Preto,Jan,503.0,-1.5655577299412915
Ribeirão Preto,Fev,494.0,-1.7892644135188867
Ribeirão Preto,Mar,492.0,-0.4048582995951417
Ribeirão Preto,Abr,495.0,0.6097560975609756
Ribeirão Preto,Mai,478.0,-3.4343434343434343
Ribeirão Preto,Jun,419.0,-12.343096234309623
Ribeirão Preto,Jul,421.0,0.47732696897374705
Ribeirão Preto,Ago,447.0,6.175771971496437
Ribeirão Preto,Set,443.0,-0.8948545861297539
Ribeirão Preto,Out,521.0,17.607223476297968
Ribeirão Preto,Nov,419.0,-19.577735124760075
Ribeirão Preto,Dez,511.0,21.957040572792362
Piracicaba,Jan,573.0,-2.7164685908319184
Piracicaba,Fev,499.0,-12.914485165794066
Piracicaba,Mar,597.0,19.639278557114228
Piracicaba,Abr,565.0,-5.360134003350084
Piracicaba,Mai,580.0,2.6548672566371683
Piracicaba,Jun,509.0,-12.241379310344827
Piracicaba,Jul,475.0,-6.679764243614931
Piracicaba,Ago,521.0,9.68421052631579
Piracicaba,Set,500.0,-4.030710172744722
Piracicaba,Out,548.0,9.6
Piracicaba,Nov,506.0,-7.664233576642336
Piracicaba,Dez,589.0,16.40316205533597
Santos,Jan,599.0,10.720887245841034
Santos,Fev,521.0,-13.02170283806344
Santos,Mar,583.0,11.900191938579654
Santos,Abr,543.0,-6.86106346483705
Santos,Mai,556.0,2.394106813996317
Santos,Jun,438.0,-21.223021582733814
Santos,Jul,463.0,5.707762557077626
Santos,Ago,448.0,-3.2397408207343417
Santos,Set,467.0,4.241071428571429
Santos,Out,476.0,1.9271948608137044
Santos,Nov,510.0,7.142857142857142
Santos,Dez,541.0,6.078431372549019
Capital,Jan,3363.0,7.996146435452794
Capital,Fev,3181.0,-5.411834671424324
Capital,Mar,3338.0,4.935554856963218
Capital,Abr,3229.0,-3.2654284002396645
Capital,Mai,3229.0,0.0
Capital,Jun,2873.0,-11.02508516568597
Capital,Jul,2827.0,-1.6011138183083886
Capital,Ago,2821.0,-0.21223912274495935
Capital,Set,2783.0,-1.347040056717476
Capital,Out,2907.0,4.455623427955444
Capital,Nov,2932.0,0.8599931200550396
Capital,Dez,3114.0,6.207366984993179
Sorocaba,Jan,504.0,-4.0
Sorocaba,Fev,489.0,-2.976190476190476
Sorocaba,Mar,532.0,8.793456032719837
Sorocaba,Abr,510.0,-4.135338345864661
Sorocaba,Mai,502.0,-1.5686274509803921
Sorocaba,Jun,425.0,-15.338645418326694
Sorocaba,Jul,438.0,3.058823529411765
Sorocaba,Ago,459.0,4.794520547945205
Sorocaba,Set,457.0,-0.4357298474945534
Sorocaba,Out,444.0,-2.8446389496717726
Sorocaba,Nov,435.0,-2.027027027027027
Sorocaba,Dez,525.0,20.689655172413794
Campinas,Jan,690.0,-6.122448979591836
Campinas,Fev,657.0,-4.782608695652174
Campinas,Mar,755.0,14.916286149162861
Campinas,Abr,708.0,-6.225165562913907
Campinas,Mai,716.0,1.1299435028248588
Campinas,Jun,633.0,-11.59217877094972
Campinas,Jul,581.0,-8.214849921011059
Campinas,Ago,639.0,9.982788296041308
Campinas,Set,632.0,-1.0954616588419406
Campinas,Out,713.0,12.81645569620253
Campinas,Nov,673.0,-5.610098176718092
Campinas,Dez,735.0,9.212481426448738
São José do Rio Preto,Jan,161.0,-9.03954802259887
São José do Rio Preto,Fev,154.0,-4.3478260869565215
São José do Rio Preto,Mar,168.0,9.090909090909092
São José do Rio Preto,Abr,161.0,-4.166666666666666
São José do Rio Preto,Mai,143.0,-11.180124223602485
São José do Rio Preto,Jun,137.0,-4.195804195804196
São José do Rio Preto,Jul,124.0,-9.48905109489051
São José do Rio Preto,Ago,145.0,16.93548387096774
São José do Rio Preto,Set,149.0,2.7586206896551726
São José do Rio Preto,Out,182.0,22.14765100671141
São José do Rio Preto,Nov,156.0,-14.285714285714285
São José do Rio Preto,Dez,177.0,13.461538461538462
Bauru,Jan,225.0,-12.109375
Bauru,Fev,221.0,-1.7777777777777777
Bauru,Mar,240.0,8.597285067873303
Bauru,Abr,217.0,-9.583333333333334
Bauru,Mai,186.0,-14.285714285714285
Bauru,Jun,191.0,2.6881720430107525
Bauru,Jul,205.0,7.329842931937172
Bauru,Ago,193.0,-5.853658536585367
Bauru,Set,199.0,3.1088082901554404
Bauru,Out,239.0,20.100502512562816
Bauru,Nov,188.0,-21.338912133891213
Bauru,Dez,256.0,36.17021276595745
São José dos Campos,Jan,685.0,1.9345238095238095
São José dos Campos,Fev,622.0,-9.197080291970803
São José dos Campos,Mar,711.0,14.308681672025724
São José dos Campos,Abr,751.0,5.625879043600563
São José dos Campos,Mai,633.0,-15.712383488681759
São José dos Campos,Jun,590.0,-6.79304897314376
São José dos Campos,Jul,545.0,-7.627118644067797
São José dos Campos,Ago,659.0,20.91743119266055
São José dos Campos,Set,570.0,-13.505311077389983
São José dos Campos,Out,604.0,5.964912280701754
São José dos Campos,Nov,599.0,-0.8278145695364238
São José dos Campos,Dez,672.0,12.186978297161936
Presidente Prudente,Jan,134.0,-1.4705882352941175
Presidente Prudente,Fev,140.0,4.477611940298507
Presidente Prudente,Mar,144.0,2.857142857142857
Presidente Prudente,Abr,150.0,4.166666666666666
Presidente Prudente,Mai,150.0,0.0
Presidente Prudente,Jun,111.0,-26.0
Presidente Prudente,Jul,112.0,0.9009009009009009
Presidente Prudente,Ago,96.0,-14.285714285714285
Presidente Prudente,Set,108.0,12.5
Presidente Prudente,Out,152.0,40.74074074074074
Presidente Prudente,Nov,142.0,-6.578947368421052
Presidente Prudente,Dez,136.0,-4.225352112676056
